id,retweets,likes,lang,url,text
1487103317448839169,0,0,en,https://pbs.twimg.com/media/FKNAk4cXEAIsNLf.jpg,How can roast beef flavour be vegan? https://t.co/VxytuYnbn0
1487103316915933186,0,0,en,https://pbs.twimg.com/media/FKNAlb5VIAAk5zq.jpg,"Easy vegan one pot meal:

Homemade hemp milk
Frozen Lima beans
Frozen carrots
Raw pistachios unsalted
Frozen okra
Frozen young jackfruit
Ginger
Liquid hickory smoke
Apple cider vinegar
Raw cane sugar https://t.co/vvNwMt75XU"
1487103252076195843,0,0,en,https://pbs.twimg.com/media/FKNAhhoUUAIj4Un.jpg,@zooeyeen @ZoophileLs Trying to make zoophillia a valid sexual orientation is anti vegan. If you have this paraphillia (hope you’re anti c) it’s not something to celebrate. It’s to be coped with and treated. https://t.co/xnJ6lrIGYM
1487103194429861888,0,0,en,https://pbs.twimg.com/media/FKNAeTYWYAQeEuk.jpg,Charlotte Rapper Tigo B Opens Vegan Restaurant After COVID-19 Cut His Touring Opportunities -- https://t.co/JwPiMIERmQ via @hiphopdx https://t.co/3yXK27nO2Y
1487103117007233032,0,0,en,https://pbs.twimg.com/media/FKNAZoEXwAI3QGe.jpg,"Friday Special 
Mahi Mahi Taco

Grilled Mahi Mahi pastor style topped with cabbage slaw, pineapple, onion and cilantro

Vegetable soup topped with cilantro. (Vegan) https://t.co/eDw8D9oM7T"
1487103114750488576,23,0,en,https://pbs.twimg.com/media/FKMMLdmXoAUwVEl.jpg,RT @veganfuture: Don't eat pigs. Go vegan 🙏🐷 https://t.co/CXYz7OSsFH
1487103102197006341,0,0,en,https://pbs.twimg.com/media/FKNAZBOVcAUVFqe.jpg,Vegan Travel: It’s Not Fringe Anymore https://t.co/U1sZG1nw1l https://t.co/MBPsgWl1tV
1487103063970172931,0,0,en,https://pbs.twimg.com/media/FKNAWcVXwAgwqX2.jpg,@KFCSA make it happen And also make a vegan option 😍 https://t.co/s76NEQBuuv
1487103048799625217,0,0,en,https://pbs.twimg.com/media/FKNAVzmacAIYGfo.jpg,"Petition to make china a vegan country😠
#NeoCov #China #COVID19 #Wuhan https://t.co/3Ye46fu4KK"
1487103005933637634,1,0,en,https://pbs.twimg.com/media/FKNATWdXwAE6mzH.jpg,"No trip down the M6 would be complete without a stop @TebayServices lentil dahl, butternut squash and crispy kale with garlic.... #Vegan #veganfood https://t.co/c9M7SnYUMH"
1487102966855512065,297,0,en,https://pbs.twimg.com/media/FKJgbY2WYAYwpl3.jpg,RT @monavegan: Go vegan plz https://t.co/yMMe5HLwW0
